iter	Passed	Remaining
0	57	57850
1	58	29017
2	58	19403
3	58	14612
4	59	11765
5	59	9869
6	60	8518
7	60	7519
8	61	6721
9	61	6081
10	61	5559
11	62	5116
12	62	4736
13	63	4442
14	63	4171
15	63	3932
16	64	3720
17	64	3531
18	65	3362
19	65	3210
20	65	3073
21	66	2948
22	66	2839
23	67	2735
24	67	2639
25	68	2550
26	72	2613
27	72	2525
28	72	2443
29	73	2367
30	73	2295
31	73	2228
32	73	2165
33	74	2106
34	74	2050
35	80	2149
36	80	2106
37	81	2059
38	81	2014
39	82	1973
40	84	1971
41	84	1934
42	85	1897
43	85	1862
44	85	1824
45	86	1787
46	86	1752
47	86	1718
48	86	1686
49	87	1655
50	87	1625
51	87	1596
52	87	1568
53	88	1541
54	88	1516
55	88	1491
56	88	1467
57	88	1444
58	89	1422
59	89	1400
60	89	1379
61	92	1397
62	93	1383
63	93	1367
64	95	1377
65	96	1361
66	102	1431
67	107	1475
68	108	1458
69	117	1559
70	117	1541
71	132	1709
72	132	1687
73	133	1666
74	133	1644
75	133	1624
76	133	1604
77	134	1584
78	134	1565
79	134	1546
80	134	1528
81	134	1510
82	135	1493
83	135	1476
84	135	1458
85	135	1442
86	135	1425
87	136	1410
88	136	1395
89	136	1380
90	136	1366
91	136	1352
92	137	1338
93	137	1324
94	137	1311
95	137	1298
96	138	1285
97	138	1273
98	138	1261
99	138	1249
100	139	1237
101	139	1224
102	139	1213
103	139	1202
104	139	1191
105	139	1180
106	140	1170
107	140	1159
108	146	1201
109	154	1250
110	155	1248
111	156	1240
112	156	1232
113	157	1224
114	158	1216
115	158	1207
116	158	1198
117	159	1189
118	159	1179
119	160	1178
120	160	1169
121	161	1159
122	161	1149
123	161	1140
124	161	1131
125	161	1123
126	162	1114
127	162	1105
128	162	1096
129	162	1088
130	162	1080
131	163	1072
132	163	1064
133	163	1057
134	163	1049
135	164	1042
136	164	1034
137	164	1026
138	166	1029
139	172	1057
140	172	1051
141	173	1045
142	174	1044
143	174	1039
144	175	1033
145	175	1027
146	176	1021
147	176	1015
148	176	1008
149	176	1001
150	177	995
151	177	988
152	177	982
153	177	976
154	177	969
155	178	963
156	178	957
157	178	951
158	178	945
159	179	939
160	179	934
161	179	928
162	179	922
163	179	917
164	180	912
165	180	907
166	181	903
167	181	899
168	182	898
169	183	894
170	183	889
171	184	886
172	184	881
173	184	876
174	184	871
175	185	866
176	185	861
177	185	857
178	185	852
179	186	847
180	186	842
181	186	839
182	187	835
183	187	831
184	187	828
185	188	824
186	189	822
187	189	818
188	190	815
189	190	811
190	190	807
191	190	803
192	191	799
193	191	794
194	191	790
195	191	786
196	191	782
197	192	778
198	192	774
199	192	770
200	192	766
201	193	763
202	193	759
203	193	755
204	193	751
205	194	747
206	194	744
207	194	740
208	194	737
209	195	736
210	196	734
211	197	732
212	198	731
213	198	728
214	198	724
215	198	721
216	198	717
217	199	714
218	199	711
219	199	707
220	199	704
221	200	701
222	200	697
223	200	694
224	200	691
225	200	688
226	201	685
227	202	686
228	203	684
229	206	692
230	207	690
231	207	687
232	207	683
233	208	680
234	208	677
235	208	674
236	208	671
237	208	668
238	209	665
239	209	662
240	209	659
241	209	657
242	210	654
243	210	651
244	210	648
245	210	645
246	210	643
247	211	640
248	211	637
249	211	634
250	211	632
251	212	629
252	212	626
253	212	624
254	212	621
255	212	618
256	213	616
257	213	613
258	213	611
259	213	608
260	214	606
261	214	604
262	215	603
263	215	601
264	215	598
265	216	596
266	216	594
267	216	591
268	216	589
269	217	587
270	217	584
271	217	582
272	217	580
273	218	578
274	218	575
275	218	573
276	218	571
277	219	569
278	219	567
279	219	565
280	219	562
281	220	560
282	220	558
283	220	556
284	220	554
285	221	552
286	221	550
287	221	548
288	222	546
289	222	544
290	222	542
291	222	540
292	223	538
293	223	536
294	223	534
295	223	532
296	224	530
297	225	530
298	225	528
299	225	526
300	225	524
301	226	522
302	226	520
303	226	518
304	226	516
305	227	515
306	227	513
307	227	511
308	227	509
309	228	507
310	228	505
311	228	504
312	228	502
313	229	500
314	229	499
315	229	497
316	230	495
317	230	493
318	230	492
319	230	490
320	231	488
321	231	487
322	231	485
323	231	483
324	232	482
325	232	480
326	232	478
327	232	476
328	232	475
329	233	473
330	233	471
331	233	470
332	233	468
333	234	467
334	234	465
335	234	463
336	234	462
337	235	460
338	235	458
339	235	457
340	235	455
341	236	454
342	236	452
343	236	451
344	236	449
345	237	448
346	237	446
347	237	444
348	237	443
349	238	442
350	238	440
351	238	439
352	238	437
353	238	436
354	239	434
355	239	433
356	239	431
357	239	430
358	240	428
359	240	427
360	240	425
361	240	424
362	240	422
363	241	421
364	241	419
365	241	418
366	241	416
367	241	415
368	242	414
369	242	412
370	242	411
371	242	410
372	243	408
373	243	407
374	243	406
375	244	404
376	244	403
377	244	402
378	244	400
379	244	399
380	245	398
381	245	397
382	245	395
383	245	394
384	246	392
385	246	391
386	246	390
387	246	389
388	246	387
389	247	386
390	247	385
391	247	383
392	247	382
393	247	381
394	248	380
395	248	378
396	248	377
397	248	376
398	248	375
399	249	373
400	249	372
401	249	371
402	249	370
403	250	369
404	250	368
405	250	366
406	251	365
407	251	364
408	251	363
409	251	362
410	252	361
411	252	360
412	252	358
413	252	357
414	252	356
415	253	355
416	253	354
417	253	353
418	253	352
419	254	350
420	254	349
421	254	348
422	254	347
423	255	346
424	255	345
425	255	344
426	255	343
427	255	341
428	256	340
429	256	339
430	256	338
431	256	337
432	257	336
433	257	335
434	257	334
435	257	333
436	257	332
437	258	331
438	258	330
439	258	329
440	258	328
441	259	327
442	259	326
443	259	325
444	259	324
445	260	323
446	260	322
447	260	321
448	260	320
449	261	319
450	261	318
451	261	317
452	261	316
453	262	315
454	262	314
455	262	313
456	262	312
457	263	311
458	263	310
459	263	309
460	263	308
461	264	307
462	264	306
463	264	305
464	264	304
465	265	303
466	265	302
467	265	301
468	265	300
469	265	299
470	266	298
471	266	297
472	266	297
473	266	296
474	267	295
475	267	294
476	267	293
477	267	292
478	268	291
479	268	290
480	268	289
481	268	288
482	268	287
483	269	286
484	269	286
485	269	285
486	269	284
487	270	283
488	270	282
489	270	281
490	270	280
491	270	279
492	271	278
493	271	277
494	271	277
495	271	276
496	271	275
497	272	274
498	272	273
